Publisher,Year,Global_Sales
Nintendo,2006.0,205.60999999999999
Nintendo,2009.0,128.89000000000001
Nintendo,2005.0,127.47
Nintendo,2007.0,104.17999999999999
Nintendo,2008.0,91.22
Electronic Arts,2009.0,86.2
Electronic Arts,2008.0,84.12
Electronic Arts,2010.0,81.38
Activision,2009.0,78.06
Nintendo,1996.0,73.7
Electronic Arts,2002.0,73.01
Electronic Arts,2011.0,72.25
Electronic Arts,2007.0,71.33
Electronic Arts,2003.0,69.83
Activision,2008.0,67.41
Electronic Arts,2004.0,67.33
Electronic Arts,2005.0,67.01
Nintendo,1999.0,65.33
Nintendo,1989.0,63.88
Activision,2007.0,63.57
Activision,2010.0,63.39
Nintendo,2010.0,61.07
Nintendo,2004.0,60.65
Electronic Arts,2006.0,58.410000000000004
Ubisoft,2008.0,57.44
Nintendo,2012.0,56.47
Activision,2012.0,53.25
Electronic Arts,2013.0,52.92
Nintendo,2013.0,52.79
Take-Two Interactive,2013.0,52.41
Activision,2011.0,51.74
Nintendo,2011.0,51.53
Nintendo,1985.0,49.95
Electronic Arts,2012.0,49.9
Microsoft Game Studios,2010.0,49.160000000000004
Nintendo,2014.0,48.65
Ubisoft,2007.0,48.6
Nintendo,1998.0,48.410000000000004
Nintendo,2002.0,48.31
Ubisoft,2011.0,48.03
Ubisoft,2009.0,47.01
Electronic Arts,2014.0,46.8
Take-Two Interactive,2008.0,46.18
Nintendo,1984.0,45.559999999999995
Electronic Arts,2015.0,45.42
Nintendo,2001.0,45.37
Electronic Arts,2001.0,45.12
Activision,2014.0,44.48
Sony Computer Entertainment,1997.0,43.9
Activision,2013.0,43.49
Sony Computer Entertainment,2001.0,43.29
Ubisoft,2010.0,42.62
Ubisoft,2014.0,41.95
Activision,2004.0,39.230000000000004
Nintendo,2003.0,38.14
Nintendo,1992.0,38.11
Sony Computer Entertainment,2007.0,37.54
Ubisoft,2012.0,37.31
Sega,2008.0,37.19
Sony Computer Entertainment,2009.0,36.53
Nintendo,1988.0,36.44
Sony Computer Entertainment,1999.0,36.24
Take-Two Interactive,2010.0,35.839999999999996
Activision,2015.0,35.63
Nintendo,1990.0,35.49
Activision,2005.0,35.39
Sony Computer Entertainment,2004.0,35.160000000000004
Sony Computer Entertainment,1996.0,35.07
Sony Computer Entertainment,2010.0,34.89
Sony Computer Entertainment,1998.0,34.64
Nintendo,2000.0,34.05
Sony Computer Entertainment,2006.0,33.81
THQ,2007.0,33.29
THQ,2009.0,30.83
THQ,2008.0,30.45
Take-Two Interactive,2014.0,30.26
Electronic Arts,1998.0,29.95
THQ,2003.0,29.38
THQ,2004.0,28.69
Konami Digital Entertainment,2008.0,27.82
Sony Computer Entertainment,2011.0,27.4
Ubisoft,2013.0,27.39
Nintendo,2015.0,27.080000000000002
THQ,2002.0,26.88
THQ,2011.0,26.76
Sony Computer Entertainment,2008.0,26.64
Sony Computer Entertainment,2005.0,26.38
Take-Two Interactive,2005.0,26.29
Microsoft Game Studios,2007.0,26.1
Activision,2002.0,25.94
Sony Computer Entertainment,2002.0,25.85
Nintendo,1997.0,25.8
Electronic Arts,2000.0,25.13
Bethesda Softworks,2011.0,25.09
Nintendo,1994.0,24.990000000000002
THQ,2006.0,24.94
Sega,2009.0,24.919999999999998
Sony Computer Entertainment,2003.0,24.32
Take-Two Interactive,2004.0,24.11
Sega,2007.0,23.69
